# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                  170   1.24240944E-05   1.01724979E-02   5.14615746E-03   1.13926393E-02   5.39939038E-01   3.02128742E-01
BEEF                  171   1.23308744E-05   1.01808499E-02   5.13778661E-03   1.13926393E-02   5.26733733E-01   2.98179590E-01
BEEF                  172   1.20919491E-05   9.91282495E-03   5.04449749E-03   1.13926393E-02   4.99119970E-01   2.86494563E-01
BEEF                  173   1.17870187E-05   9.45561230E-03   4.88199104E-03   1.13926393E-02   4.60890388E-01   2.67929040E-01
BEEF                  174   1.14495458E-05   8.98688023E-03   4.66440049E-03   1.13926393E-02   4.01377664E-01   2.38563340E-01
BEEF                  175   1.12862734E-05   8.71254157E-03   4.46505007E-03   1.13926393E-02   3.44845026E-01   2.13231970E-01
BEEF                  176   1.13396470E-05   8.76241574E-03   4.34420983E-03   1.13926393E-02   3.02312917E-01   1.97873356E-01
BEEF                  177   1.15256252E-05   8.82048444E-03   4.27154783E-03   1.13926393E-02   2.67868742E-01   1.89187493E-01
BEEF                  178   1.18578698E-05   9.11611377E-03   4.29702432E-03   1.13926393E-02   2.47444899E-01   1.89671315E-01
BEEF                  179   1.22499844E-05   9.48619381E-03   4.41067268E-03   1.13926393E-02   2.44149469E-01   1.95980013E-01
BEEF                  180   1.27194192E-05   9.90825066E-03   4.61743580E-03   1.13926393E-02   2.60272255E-01   2.04579859E-01
BEEF                  181   9.92597243E-06   7.67545711E-03   3.46484605E-03   1.13268209E-02   1.89625732E-01   1.52713114E-01
BEEF                  182   1.02168563E-05   9.43453249E-03   3.80262547E-03   1.13268209E-02   2.02737820E-01   1.59405184E-01
BEEF                  183   1.05389169E-05   1.14061344E-02   4.22320515E-03   1.13268209E-02   2.14718682E-01   1.65827553E-01
BEEF                  184   1.09141940E-05   1.34885900E-02   4.69049961E-03   1.13268209E-02   2.23830003E-01   1.71318766E-01
